name,url,description,remote_support,adaptive_support,duration
SAP Basis (New),https://www.shl.com/products/product-catalog/view/sap-basis-new/,"SAP Basis (New): Multi-choice test that measures the knowledge of SAP architecture, database administration, background processing, user administration, client administration…",Yes,No,Available
SAP HCM (Human Capital Management) (New),https://www.shl.com/products/product-catalog/view/sap-hcm-human-capital-management-new/,"SAP HCM (Human Capital Management) (New): Multi-choice test that measures the knowledge of SAP HR/ HCM structure, personnel administration, SAP HCM tasks, SAP HCM SuccessFactors solutions.",Yes,No,Available
Business Communication (adaptive),https://www.shl.com/products/product-catalog/view/business-communication-adaptive/,Business Communication (adaptive): This is an adaptive test that measures knowledge of communicating in the workplace. It measures the skills necessary to communicate effectively with coworkers…,Yes,No,Available
Smart Interview On Demand,https://www.shl.com/products/product-catalog/view/smart-interview-on-demand/,"Smart Interview On Demand: Smart Interview On Demand is a  recorded  (asynchronous) video interview tool, that introduces you to each person behind the resume with a short-recorded video…",Yes,No,Available
Account Manager Solution,https://www.shl.com/products/product-catalog/view/account-manager-solution/,Account Manager Solution : The Account Manager solution is an assessment used for job candidates applying to mid-level leadership positions that tend to manage the day-to-day operations…,Yes,No,Available
Verify Interactive Process Monitoring,https://www.shl.com/products/product-catalog/view/verify-interactive-process-monitoring/,Verify Interactive Process Monitoring : The SHL Verify Range of Ability Tests is a suite of cognitive ability assessments appropriate for candidates at a wide range of job levels. The SHL Process…,Yes,No,Available
.NET MVVM (New),https://www.shl.com/products/product-catalog/view/net-mvvm-new/,".NET MVVM (New): Multi-choice test that measures the knowledge of MVVM pattern, scenarios, data validation, ViewModel communication and Quick-start.",Yes,No,Available
Sales Interview Guide,https://www.shl.com/products/product-catalog/view/sales-interview-guide/,Sales Interview Guide: The SHL Sales Model is mapped to the SHL Universal Competency Model (UCF). The Sales Model Interview guide was developed to enable you to use the Sales Report…,Yes,No,Available
Electronics and Semiconductor Engineering (New),https://www.shl.com/products/product-catalog/view/electronics-and-semiconductor-engineering-new/,"Electronics and Semiconductor Engineering (New): Multi-choice test that measures the knowledge of semiconductors, two terminal and three terminal devices, analog electronics, digital electronics and basics of…",Yes,No,Available
IBM DataStage (New),https://www.shl.com/products/product-catalog/view/ibm-datastage-new/,"IBM DataStage (New): Multi-choice test that measures the knowledge on the concepts of Data Warehouse fundamentals, DataStage fundamentals, DataStage stages and, DataStage Designer…",Yes,No,Available
Android Development (New),https://www.shl.com/products/product-catalog/view/android-development-new/,"Android Development (New): Multi-choice test that measures the knowledge of UI components for an Android device, services and alerts, animation and media apps, application components…",Yes,No,Available
Verify - General Ability Screen,https://www.shl.com/products/product-catalog/view/verify-general-ability-screen/,"Verify - General Ability Screen: The General Ability Screen is a first for us – a measure of general mental ability or ‘g’ .  Targeted at ‘entry-level’ roles, General Ability Screen is…",Yes,No,Available
Customer Service Phone Solution,https://www.shl.com/products/product-catalog/view/customer-service-phone-solution/,"Customer Service Phone Solution: As part of Contact Center Simulations, the Customer Service Phone Solution includes a contact center simulation and two behavioral tests designed to measure a…",Yes,No,Available
Culinary Skills (New),https://www.shl.com/products/product-catalog/view/culinary-skills-new/,"Culinary Skills (New): Multi-choice test that measures the knowledge of cooking principles, cooking equipment, meal preparation and presentation, and kitchen safety.",Yes,No,Available
RemoteWorkQ,https://www.shl.com/products/product-catalog/view/remoteworkq/,"RemoteWorkQ: Using the Apta™ Architecture to focus on the relevant competency behaviors in the Universal Competency Framework, SHL developed the RemoteWorkQ to measure…",Yes,No,Available
PJM Selection Report,https://www.shl.com/products/product-catalog/view/pjm-selection-report/,"PJM Selection Report: The PJM Report provides a clear indication of each candidate's ""degree of fit"" to a role.  Provides targeted assessment results that match individuals with…",Yes,No,Available
Mobility (New),https://www.shl.com/products/product-catalog/view/mobility-new/,Mobility (New): Multi-choice test that measures the knowledge on topics related to mobility and mobile computing.,Yes,No,Available
Conversational Multichat Simulation,https://www.shl.com/products/product-catalog/view/conversational-multichat-simulation/,Conversational Multichat Simulation : This is a simulation-based test that measures the ability to handle customer concerns over multiple chats by referring to standard process documents. It…,Yes,No,Available
Accounts Payable (New),https://www.shl.com/products/product-catalog/view/accounts-payable-new/,"Accounts Payable (New): Multiple-choice test that measures the knowledge of processing payables and vendor invoices, and the posting of journal entries.",Yes,No,Available
